%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1406123641854901075,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641864510059,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641874736070,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641884542942,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641894615888,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641904531002,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641914710044,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641924560070,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641934628009,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641944564104,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641954732894,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641964584112,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641974661111,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641984688997,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641994725942,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642004766941,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642015470981,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642025024890,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642035254955,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642044845104,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642055087089,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642064642906,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642074911117,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642084919929,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642094623088,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642104943990,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642114650011,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642124885082,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642134514093,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642144567012,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642154819965,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642164841890,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642174566030,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642184748888,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642194859027,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642204912900,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642215068101,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642224754095,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642234733104,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642245104074,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642254715919,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642264919042,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642274723052,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642284881114,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642294800996,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642304810047,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642314716100,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642324759006,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642334685087,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642344489097,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642354718923,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642364833116,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642374870061,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642384968996,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642395030021,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642404582977,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642415059089,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642424602985,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642434957981,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642444833993,0.0,0.0,0.0,1.0,1.0,19.7205200573
